item_id,old_offer_id,new_offer_id
55897927155977,140052-2.00 GBP,mgs-55897927155977
55897928073481,825100-12.50 GBP,mgs-55897928073481
55897928106249,825250-21.00 GBP,mgs-55897928106249
56839264993545,825600-43.00 GBP,mgs-56839264993545
55897931219209,820100-12.50 GBP,mgs-55897931219209
55897931251977,820250-21.00 GBP,mgs-55897931251977
56839265026313,820600-43.00 GBP,mgs-56839265026313
57040551641353,300100-24.00 GBP,mgs-57040551641353
57040551674121,300500-78.00 GBP,mgs-57040551674121
55897923911945,675071-6.95 GBP,mgs-55897923911945
55897927909641,675081-8.00 GBP,mgs-55897927909641
55897926893833,32100-38.00 GBP,mgs-55897926893833
55897926861065,32101-38.00 GBP,mgs-55897926861065
55897926926601,32500-112.00 GBP,mgs-55897926926601
55897924567305,31030-23.00 GBP,mgs-55897924567305
55897924600073,31055-47.00 GBP,mgs-55897924600073
55897924632841,31100-63.00 GBP,mgs-55897924632841
55897924665609,31500-175.00 GBP,mgs-55897924665609
55897924698377,31052-2.00 GBP,mgs-55897924698377
55897932267785,30052-2.00 GBP,mgs-55897932267785
55897932300553,30052-6-10.00 GBP,mgs-55897932300553
55897927614729,30102-32.00 GBP,mgs-55897927614729
55897938755849,30202-25.00 GBP,mgs-55897938755849
55897931907337,30201-15.00 GBP,mgs-55897931907337
55897930400009,30103-32.00 GBP,mgs-55897930400009
55897930105097,30101-15.00 GBP,mgs-55897930105097
55897925255433,30105-15.00 GBP,mgs-55897925255433
55897924469001,840100-12.50 GBP,mgs-55897924469001
55897924501769,840250-21.00 GBP,mgs-55897924501769
55897924534537,840600-43.00 GBP,mgs-55897924534537
55897924960521,58102-25.00 GBP,mgs-55897924960521
55897927319817,650100-32.00 GBP,mgs-55897927319817
55897927287049,650101-32.00 GBP,mgs-55897927287049
55897927254281,650105-37.00 GBP,mgs-55897927254281
55897927221513,650500-100.00 GBP,mgs-55897927221513
55897942098185,630050-22.00 GBP,mgs-55897942098185
55897942130953,630100-37.00 GBP,mgs-55897942130953
55897942163721,630250-61.00 GBP,mgs-55897942163721
55897930137865,535200-25.00 GBP,mgs-55897930137865
55897929842953,531200-25.00 GBP,mgs-55897929842953
55897925189897,530050-22.00 GBP,mgs-55897925189897
55897925157129,530100-37.00 GBP,mgs-55897925157129
55897925222665,530200-61.00 GBP,mgs-55897925222665
57040551969033,53014-13.00 GBP,mgs-57040551969033
55897941147913,541200-25.00 GBP,mgs-55897941147913
55897941180681,541200-02-25.00 GBP,mgs-55897941180681
55897926467849,522100-24.00 GBP,mgs-55897926467849
57040552001801,52014-13.00 GBP,mgs-57040552001801
55897925058825,543055-16.00 GBP,mgs-55897925058825
55897925091593,543100-22.00 GBP,mgs-55897925091593
55897931350281,850700-12.00 GBP,mgs-55897931350281
57040551477513,90100-38.00 GBP,mgs-57040551477513
57040551444745,90101-38.00 GBP,mgs-57040551444745
57040551411977,90500-112.00 GBP,mgs-57040551411977
55897928171785,55420-24.00 GBP,mgs-55897928171785
55897931317513,90202-25.00 GBP,mgs-55897931317513
57040551837961,90201-15.00 GBP,mgs-57040551837961
55897924075785,850800-12.00 GBP,mgs-55897924075785
55897925976329,83100-38.00 GBP,mgs-55897925976329
55897926009097,83101-38.00 GBP,mgs-55897926009097
55897926074633,83105-43.00 GBP,mgs-55897926074633
55897926041865,83500-110.00 GBP,mgs-55897926041865
55897938231561,80100-38.00 GBP,mgs-55897938231561
55897938198793,80500-112.00 GBP,mgs-55897938198793
57044502806793,80030-19.00 GBP,mgs-57044502806793
55897938559241,80012-14.00 GBP,mgs-55897938559241
55897929416969,80032-41.00 GBP,mgs-55897929416969
55897925615881,81030-23.00 GBP,mgs-55897925615881
55897925517577,81055-47.00 GBP,mgs-55897925517577
55897925550345,81100-63.00 GBP,mgs-55897925550345
55897925583113,81500-175.00 GBP,mgs-55897925583113
55897925648649,81052-2.00 GBP,mgs-55897925648649
57077126693129,80045-25.00 GBP,mgs-57077126693129
55897925845257,80050-15.00 GBP,mgs-55897925845257
55897925878025,80250-31.00 GBP,mgs-55897925878025
55897925910793,80056-61.00 GBP,mgs-55897925910793
57040552296713,80102-32.00 GBP,mgs-57040552296713
57040552493321,80215-5.25 GBP,mgs-57040552493321
55897925026057,80201-15.00 GBP,mgs-55897925026057
56082948227337,80103-32.00 GBP,mgs-56082948227337
57077126529289,80101-15.00 GBP,mgs-57077126529289
55897926336777,80105-15.00 GBP,mgs-55897926336777
55897930301705,620100-21.00 GBP,mgs-55897930301705
55897930268937,620101-21.00 GBP,mgs-55897930268937
55897930236169,620500-66.00 GBP,mgs-55897930236169
55897923944713,58101-25.00 GBP,mgs-55897923944713
56082948063497,580075-8.50 GBP,mgs-56082948063497
55897931481353,845100-12.50 GBP,mgs-55897931481353
55897931448585,845250-21.00 GBP,mgs-55897931448585
55897931514121,845600-43.00 GBP,mgs-55897931514121
55897930825993,110030-23.00 GBP,mgs-55897930825993
55897930924297,110055-47.00 GBP,mgs-55897930924297
55897930858761,110100-63.00 GBP,mgs-55897930858761
55897930891529,110500-175.00 GBP,mgs-55897930891529
55897930957065,110052-2.00 GBP,mgs-55897930957065
57040552395017,29035-19.00 GBP,mgs-57040552395017
55897929679113,292100-35.00 GBP,mgs-55897929679113
55897925779721,22100-38.00 GBP,mgs-55897925779721
55897925746953,22101-38.00 GBP,mgs-55897925746953
55897925714185,22500-112.00 GBP,mgs-55897925714185
55897926631689,23100-38.00 GBP,mgs-55897926631689
55897926598921,23101-38.00 GBP,mgs-55897926598921
55897926566153,23105-43.00 GBP,mgs-55897926566153
55897926533385,23500-112.00 GBP,mgs-55897926533385
56082948161801,20030-19.00 GBP,mgs-56082948161801
55897928139017,21012-14.00 GBP,mgs-55897928139017
55897932529929,21032-41.00 GBP,mgs-55897932529929
55897926140169,21030-23.00 GBP,mgs-55897926140169
55897926172937,21055-47.00 GBP,mgs-55897926172937
55897926205705,21100-63.00 GBP,mgs-55897926205705
55897926238473,21500-175.00 GBP,mgs-55897926238473
55897926271241,21052-2.00 GBP,mgs-55897926271241
55897932005641,21052-2.00 GBP,mgs-55897932005641
55897932038409,21052-6-2.00 GBP,mgs-55897932038409
57077126660361,21045-25.00 GBP,mgs-57077126660361
55897929548041,20050-15.00 GBP,mgs-55897929548041
55897929515273,20250-31.00 GBP,mgs-55897929515273
55897929482505,20056-61.00 GBP,mgs-55897929482505
56082948030729,850200-12.00 GBP,mgs-56082948030729
57040552034569,20102-32.00 GBP,mgs-57040552034569
